wd,wdLabel,Tags
Q9053464,costume,clothes=costumes
Q652698,denim,clothes=denim
Q197204,fur,clothes=fur
Q80151,hat,clothes=hats
Q286,leather,clothes=leather
Q10522713,men's clothing,clothes=men
Q7205582,plus-size clothing,clothes=oversize
Q862633,school uniform,clothes=schoolwear
Q17749756,swimwear,clothes=swimwear
Q3172759,folk costume,clothes=traditional
Q4375404,wedding clothing,clothes=wedding
Q4179400,women's clothing,clothes=women
Q17148672,social club,club=social
Q847017,sports club,club=sport
Q62603260,parachute club,club=sport
Q6501028,water tank,content=water
Q2072285,atelier,craft=atelier
Q160131,baker,craft=bakery
Q976015,basket weaver,craft=basket_maker
Q852389,beekeeper,craft=beekeeper
Q1639825,blacksmith,craft=blacksmith
Q548031,boat builder,craft=boatbuilder
Q1413170,bookbinder,craft=bookbinder
Q131734,brewery,craft=brewery
Q811930,building contractor,craft=builder
Q154549,carpenter,craft=carpenter
Q28869945,caterer,craft=caterer
Q506126,chimney sweep,craft=chimney_sweeper
Q2700922,clockmaker,craft=clockmaker
Q47505416,Konditorei,craft=confectionery
Q1251750,distillery,craft=distillery
Q2034021,dressmaker,craft=dressmaker
Q165029,electrician,craft=electrician
Q889574,Floorer,craft=floorer
Q758780,gardener,craft=gardener
Q1529413,glaziery,craft=glaziery
Q19101121,handicrafter,craft=handicraft
Q336221,jeweller,craft=jeweller
Q3479990,locksmith,craft=locksmith
Q838566,metalsmith,craft=metal_construction
Q1996635,optician,craft=optician
Q288728,Painter and varnisher,craft=painter
Q33231,photographer,craft=photographer
Q656208,photographic laboratory,craft=photographic_laboratory
Q1191329,piano tuner,craft=piano_tuner
Q15284879,plasterer,craft=plasterer
Q252924,plumber,craft=plumber
Q3400050,potter,craft=pottery
Q2152783,rigger,craft=rigger
Q552378,roofer,craft=roofer
Q1760988,saddler,craft=saddler
Q549237,sailmaker,craft=sailmaker
Q505213,sawmill,craft=sawmill
Q1516054,scaffolder,craft=scaffolder
Q1281618,sculptor,craft=sculptor
Q152355,cobbler,craft=shoemaker
Q1924077,exhibition stand builder,craft=stand_builder
Q328325,stonemason,craft=stonemason
Q242468,tailor,craft=tailor
Q878295,tiler,craft=tiler
Q852718,tinsmith,craft=tinsmith
Q1716419,turner,craft=turner
Q23754740,upholsterer,craft=upholsterer
Q157798,watchmaker,craft=watchmaker
Q156362,winery,craft=winery
Q897317,winegrower,craft=winery
Q153697,coffee bean,crop=coffee
Q156354,Coffea,crop=coffee
Q886167,flowering plant,crop=flowers
Q13158,Fragaria × ananassa,crop=strawberry
Q101815,Camellia sinensis,crop=tea
Q70780172,tea plantation,crop=tea
Q15645384,wheat,crop=wheat
Q7161439,pelican crossing,crossing_ref=pelican
Q7258882,puffin crossing,crossing_ref=puffin
Q7828547,toucan crossing,crossing_ref=toucan
Q7328304,zebra crossing,crossing_ref=zebra
Q623970,Arab cuisine,cuisine=arab
Q579500,Argentine cuisine,cuisine=argentinian
Q728206,Asian cuisine,cuisine=asian
Q783010,Australian cuisine,cuisine=australian
Q272502,bagel,cuisine=bagel
Q805060,Balkan cuisine,cuisine=balkan
Q24439113,barbecue restaurant,cuisine=barbecue
Q3006895,Bolivian cuisine,cuisine=bolivian
Q614394,Brazilian cuisine,cuisine=brazilian
Q6663,hamburger,cuisine=burger
Q63878756,fast-food hamburger restaurant,cuisine=burger
Q1729345,Caribbean cuisine,cuisine=caribbean
Q27477249,Chinese cuisine,cuisine=chinese
Q1789628,Croatian cuisine,cuisine=croatian
Q816851,cupcake,cuisine=cupcake
Q63869420,cupcake bakery,cuisine=cupcake
Q871595,Czech cuisine,cuisine=czech
